iter	Passed	Remaining
0	179	107818
1	201	60304
2	224	44675
3	248	37099
4	274	32679
5	301	29810
6	327	27707
7	351	26029
8	374	24563
9	398	23508
10	423	22691
11	447	21939
12	475	21451
13	499	20923
14	523	20424
15	549	20049
16	573	19660
17	596	19301
18	619	18957
19	643	18657
20	668	18426
21	690	18145
22	712	17879
23	736	17672
24	757	17432
25	781	17252
26	804	17071
27	828	16923
28	852	16784
29	875	16628
30	896	16461
31	919	16317
32	941	16168
33	964	16063
34	987	15940
35	1011	15841
36	1034	15739
37	1056	15631
38	1079	15535
39	1103	15444
40	1126	15363
41	1151	15297
42	1174	15207
43	1198	15142
44	1220	15057
45	1244	14991
46	1279	15059
47	1303	14993
48	1329	14944
49	1353	14883
50	1376	14820
51	1401	14765
52	1425	14708
53	1447	14632
54	1471	14582
55	1495	14528
56	1519	14475
57	1543	14427
58	1568	14383
59	1591	14325
60	1615	14275
61	1638	14218
62	1661	14165
63	1684	14106
64	1706	14048
65	1729	13990
66	1752	13943
67	1775	13887
68	1799	13846
69	1825	13823
70	1849	13776
71	1873	13737
72	1897	13699
73	1921	13659
74	1944	13614
75	1968	13572
76	1991	13527
77	2014	13484
78	2037	13439
79	2060	13396
80	2084	13355
81	2109	13324
82	2132	13281
83	2155	13243
84	2180	13213
85	2203	13172
86	2228	13141
87	2252	13106
88	2277	13074
89	2300	13036
90	2325	13006
91	2347	12963
92	2371	12926
93	2396	12901
94	2421	12874
95	2445	12841
96	2469	12804
97	2493	12772
98	2516	12734
99	2542	12713
100	2567	12684
101	2590	12649
102	2614	12614
103	2637	12578
104	2661	12548
105	2684	12512
106	2708	12478
107	2731	12441
108	2754	12409
109	2777	12371
110	2802	12346
111	2825	12310
112	2848	12274
113	2872	12247
114	2896	12215
115	2919	12181
116	2942	12149
117	2966	12116
118	2990	12089
119	3013	12054
120	3037	12025
121	3061	11993
122	3084	11961
123	3107	11928
124	3130	11897
125	3153	11864
126	3177	11833
127	3199	11797
128	3221	11761
129	3246	11738
130	3270	11708
131	3293	11677
132	3317	11648
133	3339	11613
134	3363	11584
135	3392	11574
136	3418	11553
137	3440	11518
138	3463	11487
139	3487	11459
140	3511	11429
141	3549	11447
142	3572	11418
143	3597	11391
144	3620	11361
145	3641	11324
146	3665	11294
147	3688	11264
148	3710	11231
149	3733	11201
150	3755	11168
151	3777	11134
152	3800	11104
153	3825	11078
154	3848	11047
155	3870	11017
156	3895	10992
157	3918	10962
158	3943	10936
159	3967	10909
160	3989	10878
161	4012	10848
162	4033	10814
163	4055	10781
164	4078	10753
165	4100	10721
166	4122	10689
167	4144	10657
168	4166	10625
169	4188	10595
170	4211	10566
171	4234	10537
172	4257	10507
173	4282	10484
174	4306	10458
175	4331	10436
176	4354	10406
177	4376	10376
178	4401	10352
179	4426	10327
180	4449	10300
181	4473	10273
